Outlet,Bias,Count
ABC News,Lean Left,55
Al Jazeera,Center,13
Associated Press,Center,65
BBC News,Center,59
Bloomberg,Center,103
Breitbart News,Right,11
Business Insider,Center,446
Buzzfeed,Lean Left,86
CBS News,Lean Left,89
CNBC,Center,85
CNN (Web News),Center,1023
CNN (Web News),Lean Left,2
CNN - Editorial,Left,2
Charles Krauthammer,Lean Right,1
Chicago Sun-Times,Lean Left,1
Chicago Tribune,Center,21
Christian Science Monitor,Center,71
Daily Beast,Center,24
Daily Beast,Left,2
Daily Mail,Right,67
David Brooks,Lean Right,1
David Ignatius,Center,1
E J Dionne,Left,250
Elizabeth Warren,Left,1
Erik Wemple,Center,1
Eugene Robinson,Left,3
Fact Checker Blog,Center,2
FiveThirtyEight,Center,5
Forbes,Center,1
Fox News,Lean Right,896
Fox News Editorial,Right,4
Fox News Latino,Right,2
Frank Bruni,Lean Left,1
George Will,Right,1
Guest Writer - Left,Lean Left,26
Guest Writer - Right,Lean Right,21
HuffPost,Left,530
Joan Blades,Left,1
John Stossel,Lean Right,1
Juan Williams,Lean Left,1
Kathleen Parker,Lean Right,1
Los Angeles Times,Lean Left,59
MSNBC,Left,11
Marc A. Thiessen,Right,1
Mashable,Left,143
Miami Herald,Lean Left,3
Mother Jones,Left,1
NBCNews.com,Lean Left,257
NPR Editorial ,Lean Left,1
NPR News,Center,172
National Review,Right,184
New York Daily News,Left,28
New York Magazine,Left,164
New York Post,Right,63
New York Times,Lean Left,966
Newsmax,Right,106
Newsweek,Lean Left,20
PBS NewsHour,Center,1
Politico,Center,913
Politico,Lean Left,6
Quartz,Center,4
Reuters,Center,169
Rich Lowry,Right,1
Ross Douthat,Lean Right,1
Ruth Marcus,Lean Left,1
SFGate,Lean Left,1
San Francisco Chronicle,Left,1
San Jose Mercury News,Lean Left,3
Slate,Lean Left,66
TechCrunch,Center,3
The Atlantic,Lean Left,111
The Boston Globe,Lean Left,12
The Daily Caller,Lean Right,442
The Daily Caller,Right,4
The Guardian,Lean Left,185
The Hill,Center,599
The Salt Lake Tribune,Lean Left,1
The Telegraph - UK,Lean Right,46
ThinkProgress,Left,152
Time Magazine,Left,36
Townhall,Right,2
USA TODAY,Center,309
Vanity Fair,Lean Left,8
Vox,Lean Left,228
WND.com,Right,1
Wall Street Journal- Editorial,Right,38
Wall Street Journal- News,Center,147
Washington Examiner,Right,1
Washington Post,Lean Left,522
Washington Times,Lean Right,430
Yahoo News,Lean Left,2
