docid,title,snippet1,snippet2,snippet3,Q1_score,Q2_score,Q3_reason,other_text,ManualBiasLabel,outletLabel,Correct
71b2d99c-b584-4f52-a4a8-f5438bb1c19e,Trump slams FBI raid of lawyer Michael Cohen: 'Attorney-client privilege is dead',"President Trump took to Twitter Tuesday to express his anger over the FBI’s raid of the office of his personal lawyer, Michael Cohen, slamming the move as proof of a “witch hunt” and declaring that “attorney-client privilege is dead!”","According to The New York Times, which first reported the raid, agents obtained documents related to several issues, including Cohen's payments to adult-film actress Stormy Daniels in the weeks leading up to the 2016 presidential election","Several former officials at the Federal Election Commission (FEC) have said the payment appears to be a violation of campaign finance laws, and multiple Washington-based groups have filed complaints with the FEC, urging it to investigate",5.0,0.0,"[""1"",""5""]",,Left,Right,False
340bccc6-4647-431e-9a18-d133f755739b,Ohio State Fake News Study Doesn’t Say What The Media Thinks It Says,The Washington Post’s Aaron Blake circulated a problematic study Tuesday that allegedly suggests fake news might have been the deciding factor for President Donald Trump’s victory in the 2016 election.,Researchers at the Ohio State University concluded that “fake news most likely did have a substantial impact on the voting decisions of a strategically important set of voters — those who voted for Barack Obama in 2012.”,Follow Joe on Twitter.,5.0,5.0,"[""0"",""5""]",,Right,Right,True
37cfca80-28db-4b6a-8f62-d3d2e7500b9d,Trump says the military will secure the southern border until wall can be built,"President Trump on Tuesday said that the US will secure the southern border with the military until a wall can be built, calling the move a “big step”","Trump made the remarks during a meeting with Baltic leaders, w he said he had discussed the matter with Defense Secretary Jim Mattis A White House official revealed later Tuesday to Fox News that the plan considered by Trump would be a “substantial” mobilization of the National Guard","“The criminal smugglers, this is a multibillion dollar industry They smuggle humans, they smuggle drugs,” he said “This criminal enterprise, if we arrest the majority of people that cross the border illegally, we put a dent into their criminal enterprise, and if you put a dent into their criminal enterprise, then you can possibly stop them”",-5.0,-5.0,"[""5"",""3""]",,Left,Right,False
ad932c47-548c-44d1-801e-c651f5323046,"BROKEN PROMISE: Trump, GOP Congress Give Planned Parenthood $500 Million In Taxpayer Funds","President Donald Trump and congressional Republicans broke their promise to conservative voters by including funding for Planned Parenthood, which receives approximately $500 million in taxpayer funding each year, in the omnibus bill that Trump signed into law on Friday.","Trump, Speaker of the House Paul Ryan and other Republican leaders promised their voters for years that they would defund Planned Parenthood if given the chance to govern.","Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact [email protected].",5.0,5.0,"[""6""]",,Left,Right,False
0549bbca-a559-4b4e-be6b-07af81790f4f,"Trump signs $1.3 trillion spending bill, despite earlier threat to veto",President Trump signed the $13 trillion omnibus spending bill Friday despite an earlier threat to veto the legislation due to the lack of border wall funding and a fix for DACA,"Trump signed the mammoth legislation reluctantly, saying in a press availability with other members of the administration that, in order to secure a necessary increase in military spending, he had to give money to Democratic projects that he derided as a ""wasted sum of money""","Trump’s veto threat was totally unexpected, particularly as the White House had signaled Trump would support the bill if passed by Congress Most lawmakers have already left Washington for a two week recess Some are on overseas trips already",0.0,2.5,"[""6""]",,Left,Right,False
2e0d4476-54a0-4129-a99c-e7ad72281ca5,Trump Considering Flushing Spending Bill Down The Drain,"FILE PHOTO: U.S. President Donald Trump makes remarks to the media as he stands alongside U.S. National Security Advisor H.R. McMaster (L) and U.S. Secretary of State Rex Tillerson at the 12th East Asia Summit in Manila, Philippines November 14, 2017. REUTERS/Jonathan Ernst/File Photo",President Donald Trump tweeted Friday morning that he is considering vetoing the $1.3 trillion spending bill Congress passed early Friday morning.,Send tips to [email protected] dailycallernewsfoundation.org.,2.5,5.0,"[""0"",""5""]",,Right,Right,True
2cd002af-bd38-4acb-8b25-124e0b246ad6,"Trump: Never saw McCabe take notes, 'Can we call them fake memos?'","President Trump responded Sunday to reports that fired FBI official Andrew McCabe took notes of their conversations, saying he never saw McCabe write down messages and suggesting the purported notes be called “fake memos,” like those purportedly taken by “lying James Comey” -- the FBI director fired by Trump.","McCabe, the onetime FBI deputy director long scorned by Trump, was fired Friday evening, two days short of his retirement and receiving a full pension.","McCabe has vigorously disputed the allegations and said his credibility had been attacked as ""part of a larger effort not just to slander me personally"" but also the FBI and law enforcement.",-5.0,-5.0,"[""1"",""5""]",,Center,Right,False
53b48721-43eb-4114-afda-bca5720c80e7,"Mueller Blasts Trump Org With Subpoenas, Is Reviewing Business Dealings With Russia","Special counsel Robert Mueller issued subpoenas to the Trump Organization in recent weeks, asking the company to surrender a trove of documents relating to Russia and other topics at issue in the ongoing investigation of Russian interference in the 2016 presidential election.","Though the breadth of the subpoenas isn’t yet clear, the development is another signal that Mueller will scrutinize President Donald Trump’s private business dealings. Trump has previously suggested he would fire the special counsel if the investigation implicated his sprawling business empire.",Send tips to [email protected].,2.5,2.5,"[""1"",""5""]",,Right,Right,True
01dbbdbe-e1ed-4a8e-8f52-a1cc3a8765be,Donald Trump hits Russia with new sanctions for election meddling,"The Trump administration slapped sanctions on two dozen Russian individuals and spy agencies Thursday, officially blaming them for meddling in the 2016 U.S. presidential election, as the U.S. government joined its top European allies in blaming the Kremlin for a nerve gas assassination attempt on a former Russian spy in Britain this month.","Among those targeted for the sanctions were 13 Russian nationals and three organizations already indicted in special counsel Robert Mueller’s investigation. They included Yevgeny Prigozhin, an oligarch known as Russian President Vladimir Putin’s “chef.”","“We do hold Russia culpable for this brazen, brazen act and despicable act,” she said.",5.0,5.0,"[""5"",""3""]",,Left,Right,False
471142f2-bf8c-4f2b-a5d1-0c42dd42c265,Devin Nunes: House Intel Committee wrapped investigation due to lack of evidence,Rep. Devin Nunes said Tuesday the House Intelligence Committee decided to end its investigation into President Trump and Russian collusion after interviewing “many dozens” of witnesses with no results.,"“We did find clear links between the Russians and the Hillary Clinton campaign, which no one seems to care about,” Mr. Nunes, California Republican, said on Fox News.","Copyright © 2018 The Washington Times, LLC. Click here for reprint permission.",5.0,2.5,"[""0"",""5""]",,Right,Right,True
806dfa97-a252-4382-bb37-a819b4e24383,Democrats' new Russia memo is an anti-Trump political attack,It should come as no surprise that partisan anti-Trump Democrats on the House Intelligence Committee issued a partisan anti-Trump memo Saturday attempting to rebut an earlier memo by committee Republicans dealing with abuses of the Foreign Intelligence Surveillance Act (FISA) Court.,"The new Democratic memo – examining how the FISA Court approved surveillance of former Trump campaign aide Carter Page – was part of an ongoing round-the-clock campaign to weaken President Trump, delegitimize his election, and make him look like a Russian puppet who needs to be impeached.","The bottom line: don’t believe Adam Schiff when he hawks this fake rebuttal. He didn’t lay a glove on the Republican memo on serious abuses of the FISA process by the Justice Department, and the FBI to undermine the Trump presidential campaign.",-5.0,-2.5,"[""6""]",,Right,Right,True
9025a66a-eb2e-4110-b410-1c708ae65208,What The Democrats Left Out Of Their Memo,Democrats on the House Permanent Select Committee on Intelligence omitted several key facts from their memo on the FBI and Justice Department’s use of the Trump-Russia dossier in applying for a spy warrant on former Trump campaign adviser Carter Page in 2016.,"The Democrats’ memo, released on Saturday, claimed to refute a similar memo released on Feb. 2 by committee Republicans who alleged that the FBI and DOJ had abused the FISA system in obtaining the warrant. The Democratic memo omitted several key points.",Julia Nista contributed to this report,0.0,-2.5,"[""1"",""5""]",,Left,Right,False
6f87db97-ac60-42b7-9f0e-febaa2a3cdcf,Steve Bannon subpoenaed during House Intel meeting for information the White House instructed him not to give,"Fallen former President Trump confidante Steve Bannon was served immediate subpoenas during his closed-door meeting with lawmakers Tuesday to provide testimony on information the White House instructed him not to share, according to sources with knowledge of the conversations.","In the now hours-long, ongoing interview conducted by investigators for the House Intelligence Committee, Bannon’s attorney told lawmakers that the White House directed his client not to answer questions about his time in the White House or during the transition.",Fox News' Chad Pergram contributed to this report.,-2.5,5.0,"[""0"",""5""]",,Center,Right,False
6f4d372b-a94e-45a9-bfe9-4ed4c2292db5,Trump’s Strong Start on Policy,"Gorsuch confirmed, ISIS defeated, taxes cut: The Trump administration has compiled a solid record of accomplishment in its first year, one that compares well with the records of many of its predecessors.","Two of the biggest accomplishments came late in the year. The prime minister of Iraq declared victory over ISIS on December 9. Republicans reached a deal that seemed to secure passage of a tax bill on December 15. Until then, it appeared possible that 2017 would end without an all-Republican government enacting any major legislation.","— Ramesh Ponnuru is a senior editor of National Review. A version of this piece appears in the December 31, 2017 issue of National Review.",-5.0,2.5,"[""1"",""5""]",,Right,Right,True
1d5931db-2c9d-432f-8990-87cc90fff517,Gregg Jarrett: Mueller's allegedly lawless acts have corrupted his probe and demand his removal,"Special Counsel Robert Mueller is accused of acting in complete disregard for the law and must be removed. And so, too, must his entire team.","There is devastating new evidence to suggest that Mueller and his staff of lawyers improperly, if not illegally, obtained tens of thousands of  documents belonging to President-elect Trump's Presidential Transition Team (PTT). The material includes emails, laptops and cell phones used by 13 PTT members.","The original version of this column incorrectly cited a case called ""Taylor."" The correct case name is ""Arnold."" A revised citation appears above. Additionally, the Finn case was incorrectly quoted. Additional cases have been cited in support for clarification.",-2.5,-5.0,"[""1"",""5""]",,Right,Right,True
8f615eca-f4e0-4ddd-a616-851837f47415,Trump’s Lawyer Says Mueller Violated Attorney Client Privilege In Obtaining Transition Emails,"WASHINGTON, DC - JUNE 13: Federal Bureau of Investigation Director Robert Mueller arrives at a hearing before the House Judiciary Committee June 13, 2013 on Capitol Hill in Washington, DC. Mueller testified on the oversight of the FBI. (Photo by Alex Wong/Getty Images)",President Donald Trump’s lawyer accused Special Counsel Robert Mueller of violating attorney client privilege in obtaining emails sent by Trump’s transition team in a letter sent to Congress Saturday.,"Content created by The Daily Caller News Foundation is available without charge to any eligible news publisher that can provide a large audience. For licensing opportunities of our original content, please contact [email protected].",-2.5,5.0,"[""6""]",,Right,Right,True
2eb8dc69-f50b-4fb7-9bae-66850a181086,Trump denies asking ex-FBI Director Comey to drop Flynn investigation,President Trump in a Sunday morning tweet denied asking former FBI Director James Comey to drop his investigation into Michael Flynn during a February meeting after the ex-national security adviser was dismissed from his position.,“I never asked Comey to stop investigating Flynn. Just more Fake News covering another Comey lie!” the president tweeted early Sunday morning.,"“We will see what happens [with Flynn],” Trump said.",0.0,-2.5,"[""5"",""4""]",,Center,Right,False
1b85fb53-7798-4e93-b63c-713ce350d8cc,Report: Kushner Told Flynn to Sabotage U.S. Policy With Russia’s Help,Photo: Win McNamee/Getty Images,"In December 2016, Jared Kushner allegedly instructed Michael Flynn to sabotage American foreign policy in order to help a foreign regime violate international law with impunity. (That regime was, of course, Bibi Netanyahu’s.)","But then, the fact that Flynn ostensibly felt compelled to lie to the FBI about his communications with the Russian ambassador — but not about conversations he had with other foreign diplomats about the resolution against Israeli settlements — is a bit eyebrow-raising. And anyway, it isn’t hard to think of reasons why Mueller might not be ready to let the public (and thus, Trump) listen in on every tune Michael Flynn has been singing.",-2.5,-2.5,"[""5"",""3""]",,Right,Left,False
fbb01fcd-42d4-44ea-a243-86d3568389d3,Michael Flynn Guilty Plea & Mainstream Media,"Michael Flynn arrives at a U.S. District Court in Washington, D.C., December 1, 2017. (Reuters photo: Jonathan Ernst)",There’s less to the news than meets the eye.,"The Manafort Indictment: Not Much There, and a Boon for Trump",-2.5,5.0,"[""5"",""3""]",,Right,Right,True
d68cdf22-c3a1-45e4-9a22-161925aa5663,Michael Flynn to Plead Guilty to Making False Statements to the FBI,Photo: Pool/Getty Images,"Retired general Michael Flynn, who was President Trump’s national security adviser before resigning in February, pleaded guilty on Friday to making a false statement to the FBI.",This is a developing story — check back for updates.,0.0,2.5,"[""6""]",,Left,Left,True
444ffd57-5267-480f-b9db-dd9a3a3876a8,"Flynn Lied To Justice Department About His Work For Turkish Government, Mueller Alleges","Former U.S. National Security Adviser Michael Flynn departs U.S. District Court, where he was expected to plead guilty to lying to the FBI about his contacts with Russia's ambassador to the United States, in Washington, U.S., December 1, 2017. REUTERS/Jonathan Ernst","Former national security adviser Michael Flynn made “materially false statements and omissions” to the Justice Department about his work last year for the Turkish government, according to court filings submitted by Special Counsel Robert Mueller on Friday.",Follow Chuck on Twitter,-2.5,-2.5,"[""1"",""5""]",,Left,Right,False
