docid,title,snippet1,snippet2,snippet3,Q1_score,Q2_score,Q3_reason,other_text,ManualBiasLabel,outletLabel,Correct
43215186-749f-4e92-9d78-7286f8177ef3,It's Almost as if the DNC Doesn't Want People to Watch Their Debates!,"As noted in today’s Morning Jolt, there’s another Democratic debate Saturday Night — up against a football game, the new Star Wars movie, and the last Saturday before Christmas, full of holiday parties. Gee, it’s almost as if the DNC doesn’t want people to watch!",Bernie Sanders’ Campaign Teaches Hillary a Lesson About Server Security,"Mr. O’Malley, who has been the most vocal about the timing of the debates, complained about the issue in August. “They’ve scheduled it during shopping season, December 19th,” Mr. O’Malley said. “I don’t know why that is. I think it’s out of a false sense that they have to circle the wagons around the inevitable front-runner.” A spokeswoman for Mr. O’Malley’s campaign said that avoiding prime-time debate slots was a way for the Democratic Party to “protect” Mrs. Clinton, and that it had given Mr. Trump and the Republicans a better platform to express their views.",2.5,2.5,"[""5"",""4""]",,Right,Right,True
0294a28d-68cd-4001-857e-f1656a4b3495,Sanders Campaign Sues DNC For Shutting Off Access To Voter File,The Bernie Sanders presidential campaign is suing the Democratic National Committee over the party’s decision on Thursday to revoke the campaign access to data maintained in its national voter file.,"In a complaint filed in federal court late Friday, the Sanders camp claims that the DNC failed to give proper notice before suspending access to the file — a move which the campaign says will cost it at least $600,000 a day in lost donations.",Follow Chuck on Twitter,5.0,-5.0,"[""6""]",,Right,Right,True
36b2a365-18da-47ec-80ca-0925a7b38257,"James Comey, FBI director, reopens Clinton email investigation","The FBI has renewed its investigation into Hillary Clinton’s secret emails, Director James Comey told Congress in a new letter Friday, heightening the stakes for the Democratic presidential nominee with less than two weeks before Election Day.",Mr. Comey said his agents learned of new emails “pertinent” to their probe while working on an unrelated case. He said his agents need to review those messages to see whether they contain classified information and whether they affect his previous decision.,"She belatedly turned over some 30,000 messages she deemed government-related, but the FBI recovered thousands of others she didn’t — including some that contained classified information.",0.0,2.5,"[""0"",""5""]",,Right,Right,True
56ff2801-dffa-41dc-b405-a796b4a7d782,The Latest Phase of the Clinton Email Brouhaha Won’t Save Trump,Photo: Joe Raedle/Getty Images,"I don’t know what is contained in the emails allegedly found on Anthony Weiner’s electronic device, which occasioned the “review” and the heads-up the FBI felt constrained to give Republican committee chairmen in Congress 11 days before a general election. Neither do you. So any hard predictions of what the incident might mean politically are simply not in order.","On the other hand, the new email story — unless the FBI or press leaks take the air out of it right away — is a heaven-sent opportunity for the Trump campaign to convince its supporters he can still win, and that his ranting and raving about Clinton’s supposed criminality is being vindicated. It won’t get him 270 electoral votes, but it could boost Republican turnout enough to make a difference in down-ballot races, and maybe make the evening of November 8 suspenseful, even if fears of voting-machine hacks or Trumpian violence prove fanciful.",5.0,-2.5,"[""0"",""5""]",,Left,Left,True
6a87c656-1ef4-4fa2-b5a7-367d06dece2f,FBI Re-Opens Investigation Into Hillary Clinton’s Emails,"A major development just 11 days before the presidential election, the FBI is re-opening its investigation into former Secretary of State Hillary Clinton’s emails.","“In connection with an unrelated case, the FBI has learned of the existence of emails that appear to be pertinent to the investigation,” FBI director James Comey wrote in an letter to members of Congress released Friday. “I am writing to inform you that the investigative team briefed me on this yesterday, and I agreed that the FBI should take appropriate investigative steps designed to allow investigators to review these emails to determine whether they contain classified information, as well as to assess their importance to our investigation.”",Follow Alex on Twitter,5.0,-5.0,"[""1"",""5""]",,Right,Right,True
a98234e1-cd47-470a-8212-8c795c1e6a86,FBI: Hillary Clinton Email Server Investigation Reopened over New Emails,(Reuters photo: Charles Mostoller),The Democratic presidential nominee is again under criminal investigation less than two weeks before the election.,*Update: It turns out the “unrelated investigation” that triggered the FBI’s decision was its investigation into Anthony Weiner’s serial sexting.,-2.5,5.0,"[""6""]",,Right,Right,True
7f4cb39a-a77f-4073-8387-37d1bd8ae368,Clinton Campaign Trips Over Weiner?,Or: Will Dick Pix Nix Chick’s Inauguration Kicks?,"I’d kind of assumed that Anthony Weiner had already done as much damage to Hillary Clinton as we was going to do, if any. He’s a laughingstock, but most people have seemed to be sympathizing with Huma. Her separation from him was just more proof that these strong independent women don’t need any men on the campaign trail, etc. (Except for Bill Clinton and his coat tails, of course, but why quibble over the details?)",Stay tuned!,0.0,0.0,"[""5"",""3""]",,Right,Right,True
155c1600-8567-4b00-b5d6-15546e72eb09,Twitter Freaks Out Over FBI Investigation Int,Twitter went nuts after the FBI announced it was reopening the investigation into Hillary Clinton’s use of a private email server while she was secretary of state.,"Are You Excited By The News That The FBI Has Re-Opened The Email Server Investigation? Yes No Login with your social identity to vote Thanks for participating in this survey, in order to vote you must register with your email address.",The FBI originally closed the investigation into Clinton after determining that no one should face criminal charges.,0.0,2.5,"[""6""]",,Right,Right,True
77edcae2-99c2-48cf-a7c2-4cbf45592e65,FBI reopens Clinton probe after new emails found in Anthony Weiner case,Democratic presidential candidate Hillary Clinton called on the FBI Friday to release all information in its renewed investigation into her use of a private server while secretary of state after discovering new emails – apparently during the probe of former Rep. Anthony Weiner’s sexting – in a stunning turn of events just days before the presidential election.,"""[FBI Director James Comey] himself has said he doesn’t know whether the emails ... are significant or not,"" Clinton told reporters in Iowa Friday evening. ""I’m confident whatever they are will not change the conclusion reached in July. Therefore it’s imperative that the bureau explain this issue in question, whatever it is, without any delay.""","Fox News' Ed Henry, Jennifer Griffin and Jake Gibson contributed to this report.",0.0,0.0,"[""1"",""5""]",,Right,Right,True
21aa7956-73d7-47a0-8d0c-2372040af5b2,Here’s How Trump’s Team Reacted When They Heard The Hillary FBI News,Donald Trump’s campaign was practically cheering when the FBI announced it was reopening the investigation into Hillary Clinton’s emails.,"On Friday, FBI Director James Comey wrote a letter to Congress saying that his bureau learned of the existence of more emails “that appear to be pertinent to the investigation.”",The crowd at Trump’s rally in New Hampshire went wild when he brought up the announcement. (RELATED: Trump Announces FBI Re-Opening Hillary Investigation — Rally Crowd GOES CRAZY),5.0,0.0,"[""1"",""5""]",,Right,Right,True
