docid,title,snippet1,snippet2,snippet3,mturk_majority_label,news-source-bias,label_by_us,mturk_majority == news_source,annotation ratio,mturk_majority == our label,mturk_majority_label,mturk_majority == news_source,annotation ratio,mturk_majority == our label,useless guys judgement == majority judgement,odd one's reason,
6795228e-895e-4cbb-b635-755585d0532d,Donald Trump‰Ûªs RNC address could mark the start of an American revival,"Donald Trump needed to give the speech of his life. He did that, and much more. He laid out an inspiring American Manifesto for our troubled times.","Not surprisingly, from start to finish, it is muscular and bold, leavened only by appeals to racial harmony and pledges of compassion for all. It offers a prominent nod to Bernie Sanders‰Ûª supporters in a bid to get some to jump the Democratic ship.","If he wins, and can deliver on his vision, remember this speech. Like Ronald Reagan‰Ûªs in 1976, Trump‰Ûªs 2016 address could mark the start of a desperately needed American revival. As he said near the end, ‰ÛÏAmerica is back.‰Ûù Imagine that ‰ÛÓ and pray he is right.",Right,Right,Right,1,1:01:03,1,Right,1,1:01:03,1,,,1
213ead6e-c603-4048-b22a-7f2b3626c6a7,"Trump claims GOP nomination, tells struggling Americans 'I am your voice'","Just over a year after Donald J. Trump descended his iconic escalator in Manhattan to announce he was joining a packed field of political veterans seeking the Republican nomination for president, the New York billionaire completed an astonishing and historic political ascent Thursday night in Cleveland, officially claiming his party‰Ûªs nomination ‰ÛÓ and declaring to struggling Americans, ‰ÛÏI am your voice.‰Ûù","Trump electrified the convention crowd on closing night, with chants of ‰ÛÏU.S.A.‰Ûù frequently breaking out as the nominee vowed to put ‰ÛÏAmerica first.‰Ûù He used the speech to align his campaign squarely on the side of struggling American workers of all political stripes, as he moved to broaden his appeal beyond the Republican base that largely decided the primaries.","‰ÛÏFor more than a year, Donald Trump has been the people‰Ûªs champion, and tonight he is the people‰Ûªs nominee,‰Ûù she said. ‰ÛÏ‰Û_ When my father says he‰Ûªll make America great again, he will deliver.‰Ûù",Right,Lean Right,Right,1,2:03,1,Right,1,1:03,1,0,,2
f72587c6-820c-48d5-851e-d9e0d0e16ba1,Was Trump's speech the longest ever?,Donald Trump formally accepted the Republican Party's presidential nomination at the Republican National Convention in Cleveland.,Donald Trump is making acceptance speeches great again. Or at least LONG again.,"From 1956 - 2012, Bill Clinton's 1996 convention speech was the longest: pic.twitter.com/cO05tfjn0g ‰ÛÓ National Journal (@nationaljournal) July 21, 2016",Center,Center,Center,1,1:01:03,1,Center,1,1:03,1,0,,2
5e3181fe-c06f-4ddf-9145-8c2f309748c0,Donald Trump doesn‰Ûªt want to make America great. He wants to make it afraid.,"Donald Trump is not a candidate the American people would turn to in normal times. He‰Ûªs too inexperienced, too eccentric, too volatile, too risky. Voting Trump is burning down the house to collect the insurance money ‰ÛÓ you don‰Ûªt do it unless things are really, really bad.","Here is Trump‰Ûªs problem: Things are not really, really bad. In fact, things are doing much better than when President Obama came into office.","But then, perhaps there‰Ûªs truth to his absurd promises: When the crisis is invented, the solution is simpler. Once Trump no longer needs the nation to be afraid, he will stop scaring it. It is his nightmare, and only he can wake us from it.",Left/Right,Lean Left,Left,1,2:02:01,1,Left,1,1:01:02,1,1,,2
9b6c83cc-f7cd-48ce-aecf-9d83048fc033,Emails reveal Hillary‰Ûªs shocking pay-for-play scheme,"Hillary Clinton put the State Department up for sale, with top aides pulling strings and doing favors for fat-cat donors to the Clinton Foundation ‰ÛÓ including a shady billionaire, according to smoking-gun emails released Tuesday.","The stunning revelations include how wealthy contributors seeking influence or prestigious government gigs could fork over piles of cash to get access to Clinton‰Ûªs inner circle, including top aides Huma Abedin and Cheryl Mills.","‰ÛÏThey are communications between her aides and the president‰Ûªs personal aide, and indeed the recommendation was for one of the secretary‰Ûªs former staffers who was not employed by the foundation,‰Ûù he added.",Right,Right,Right,1,1:01:03,1,Right,1,1:01:02,1,1,,2
96a3d71b-81f4-44ae-a8d2-064be42bc3cd,Newly released emails raise questions about relationship between State Department and Clinton Foundation,"Democratic presidential nominee Hillary Clinton. The conservative watchdog group Judicial Watch on Tuesday released an additional 296 pages of emails from Hillary Clinton, including 44 that it said were not previously disclosed to the State Department by the former secretary of state.",Among the emails were some that raised questions about the relationship between the Clinton Foundation and the State Department.,"""Neither of these emails involve the secretary or relate to the Foundation's work,"" Josh Schwerin, a Clinton campaign spokesman, said in an emailed statement to CNN. ""They are communications between her aides and the president's personal aide, and indeed the recommendation was for one of the secretary's former staffers who was not employed by the Foundation.""",Right,Center,"X / Right - includes a lot of statements from right wings, not any of left",0,2:03,1,Right,0,2:02,0,1,,1
6e2ec9f5-eb67-4422-84d8-3d68b1a50220,From Whitewater to Benghazi: A Clinton-Scandal Primer,"Oops, never mind! That‰Ûªs FBI Director James Comey‰Ûªs new message to Congress and, by extension, the American public on Sunday. A little over a week ago, Comey shook the presidential election with a letter to the chairs of several congressional committees, announcing that the FBI had found a new tranche of emails pertinent to its investigation into Hillary Clinton‰Ûªs use of a private email server while secretary of state. The emails came from an unrelated case, he said‰ÛÓsince widely reported to be an investigation into alleged sexts to a teenager from Anthony Weiner, whose estranged wife is a top Clinton aide‰ÛÓand there was no timeline for finishing the review. The revelation gave new life to the struggling Donald Trump campaign, which seized on the matter as proof of Clinton‰Ûªs bad judgment. Her poll numbers, as well as her favorability figures and Democratic enthusiasm, sagged. New leaks began dripping out of the FBI on a daily basis, along with allegations that the bureau was trying to tip the election toward Trump. The Clinton campaign demanded that Comey say more, but no information was forthcoming.","But in a new letter on Sunday, Comey revealed that FBI agents had been working ‰ÛÏaround the clock‰Ûù to look at the emails. ‰ÛÏDuring that process, we reviewed all of the communications that were to or from Hillary Clinton while she was Secretary of State,‰Ûù Comey wrote. ‰ÛÏBased on our review, we have not changed our conclusions that we expressed in July with respect to Secretary Clinton.‰Ûù In other words, it was all much ado about nothing. Comey‰Ûªs recommended in July was that although Clinton had been ‰ÛÏextremely careless‰Ûù with classified information, there was no grounds for charging her with a crime. Put more bluntly, the FBI altered the course of the presidential campaign for what amounts to a fire drill. This doesn‰Ûªt mean the email story is gone entirely. On Friday, a new release showed that in at least one case Clinton forwarded emails to her daughter, Chelsea Clinton, that the government now labels classified. The chain in question was released on November 4, as part of the ongoing release of Clinton‰Ûªs emails from her time as secretary of state. The messages appeared to be related to climate talks in Copenhagen in December 2009, although they were redacted so that it is impossible to tell. They were sent to an email address that Chelsea Clinton used under an alias, ‰ÛÏDiane Reynolds.‰Ûù It was not marked classified at the time. The emails and the private server through which they operated have been a defining story of the Clinton campaign. In March 2015, The New York Times first reported on Clinton‰Ûªs use of a private email address and a private server during her time at Foggy Bottom. The story has dogged Clinton ever since, raising questions about her judgment and trustworthiness.","Who? Both Cheryl Mills and Huma Abedin are among Clinton‰Ûªs longest-serving and closest aides. Abedin remains involved in her campaign (and she‰Ûªs also married to Anthony Weiner). When? January 2009-February 2013 How serious is it? This is arcane stuff, to be sure. There are questions about conflict of interest‰ÛÓsuch as whether Teneo clients might have benefited from special treatment by the State Department while Abedin worked for both. To a great extent, this is just an extension of the tangle of conflicts presented by the Clinton Foundation and the many overlapping roles of Bill and Hillary Clinton. Sidney Blumenthal What? A former journalist, Blumenthal was a top aide in the second term of the Bill Clinton administration and helped on messaging during the bad old days. He served as an adviser to Hillary Clinton‰Ûªs 2008 presidential campaign, and when she took over the State Department, she sought to hire Blumenthal. Obama aides, apparently still smarting over his role in attacks on candidate Obama, refused the request, so Clinton just sought out his counsel informally. At the same time, Blumenthal was drawing a check from the Clinton Foundation.",Center,Lean Left,"Left - No, we didn't read full article",0,1:04,0,Center,0,1:03,0,1,,2
fa5f4d8e-5789-4a46-8ddc-4eaebf1c7aca,"Trump warns North Korea will be ""met with fire and fury""","President Trump addressed the ongoing crisis between the U.S. and North Korea at a briefing on opioids in New Jersey on Tuesday, issuing a stern warning to the regime for its continued provocations.","""North Korea best not make any more threats to the United States,"" warned Mr. Trump from his golf club in Bedminster.","The U.S. in May successfully carried out its first-ever missile defense test to intercept an ICBM-type weapon, but other tests have had mixed results.",Left,Lean Left,Left,1,1:01:03,1,Left,1,1:01:02,1,1,,3
d0e5ed0e-e166-4eae-86f4-144c812eeed4,"North Korea Can Put a Nuclear Weapon on a Missile, Officials Believe","WASHINGTON ‰ÛÓ U.S. intelligence agencies have made an assessment that North Korea has constructed a nuclear weapon small enough to fit on a missile, according to a U.S. official briefed on the assessment.","The U.S. belief that North Korea has reached this milestone was first reported by The Washington Post, which said that the assessment came from a Defense Intelligence Agency analysis completed last month.","The official said, however, that this does not mean that North Korea has fielded a nuclear-tipped intercontinental ballistic missile. The North Koreans still have to establish that they can deliver a weapon accurately that survives reentry.",Center,Lean Left,Center,0,1:04,1,Center,0,0:04,1,0,,4
7e9742ef-5cf4-4790-bba1-c633f5be2156,Trump Warns North Korea of ‰Û÷Fire and Fury Like the World Has Never Seen‰Ûª,"Speaking at his golf club in Bedminster, N.J., President Trump warned today, ‰ÛÏNorth Korea best not make any more threats to the United States. They will be met with fire and fury like the world has never seen.‰Ûù","The statement comes in a series of escalating threats and provocative moves by North Korea‰Ûªs regime. The Washington Post is reporting that U.S. intelligence officials assess that North Korea has successfully produced a miniaturized nuclear warhead that can fit inside its missiles. Japan‰Ûªs defense minister said ‰ÛÏsecurity threats have entered a new stage.‰Ûù Yesterday, North Korea said it would use its nuclear weapons only against the United States, and said it would ‰ÛÏunder no circumstances‰Ûù negotiate on its nuclear and missile weapons programs. Also yesterday, Fox News reported that U.S. spy agencies detected the North Korean military ‰ÛÏloading two anti-ship cruise missiles on a patrol boat on the country‰Ûªs east coast just days ago,‰Ûù suggesting another missile test may be on the way. Late last month, North Korea test-fired a missile that could hit much of the continental United States.","Unless China suddenly applies a great deal more pressure to Pyongyang, either this president or the next will face a devastating choice among bad options: accept a nuclear-armed North Korea that can strike American cities, fight a conventional war before those ballistic missiles are operational, or fight a nuclear war somewhere down the road.",Center,Right,Right / Center - only right element is citing only Fox news,0,0:05,0,Center,0,0:05,0,,,
